Provider,UplFile5,DownlFile5,Provider,UplFile50,DownlFile50,
StorJ,9.006634,2.968193,StorJ,68.413349,22.203420,
DropBox,4.784691,1.751196,DropBox,21.149836,12.338658,
GoogleDrive,3.420718,2.957666,GoogleDrive,21.085198,15.812219,
OneDrive,4.431615,2.398217,OneDrive,30.997651,12.586787,
StorJ,9.356569,2.456111,StorJ,68.505457,19.095303,
DropBox,4.206879,1.787588,DropBox,20.713508,12.491316,
GoogleDrive,3.924904,1.874788,GoogleDrive,21.378593,14.906057,
OneDrive,4.309735,2.402259,OneDrive,24.757552,12.413886,
StorJ,8.780706,3.065274,StorJ,67.584567,18.611398,
DropBox,4.911646,1.702845,DropBox,20.559689,12.942104,
GoogleDrive,3.732825,1.894998,GoogleDrive,21.346910,15.425483,
OneDrive,4.361320,2.160925,OneDrive,29.933976,12.745289,
StorJ,8.821162,2.229016,StorJ,69.334213,19.544473,
DropBox,4.445998,1.830150,DropBox,21.540162,12.483785,
GoogleDrive,3.311040,1.999504,GoogleDrive,20.971020,16.183175,
OneDrive,3.917023,2.440507,OneDrive,26.880098,13.656294,
StorJ,9.010224,2.806134,StorJ,67.052038,17.985609,
DropBox,4.154622,1.829237,DropBox,21.400093,12.434476,
GoogleDrive,3.604651,2.174744,GoogleDrive,21.324799,15.181724,
OneDrive,5.495751,2.518663,OneDrive,23.820390,12.553860,
StorJ,9.250066,2.202422,StorJ,70.058739,19.810484,
DropBox,4.391317,1.701370,DropBox,20.285401,13.221245,
GoogleDrive,3.908893,1.962555,GoogleDrive,21.363914,15.787738,
OneDrive,6.638318,2.399419,OneDrive,33.681567,12.934094,
StorJ,9.171309,2.575416,StorJ,69.520078,17.876840,
DropBox,4.438294,1.593516,DropBox,20.217523,13.006700,
GoogleDrive,3.311460,2.655582,GoogleDrive,21.045424,15.908785,
OneDrive,4.325201,2.429025,OneDrive,29.043003,13.341444,
StorJ,8.955106,2.510274,StorJ,65.218637,18.049699,
DropBox,4.476988,1.517795,DropBox,20.908884,12.852259,
GoogleDrive,3.390324,2.043811,GoogleDrive,21.011984,15.473023,
OneDrive,7.816897,2.504967,OneDrive,23.211452,12.893219,
StorJ,9.577086,2.377512,StorJ,66.474621,17.805249,
DropBox,4.220124,1.811641,DropBox,20.338356,12.729203,
GoogleDrive,3.205069,1.945143,GoogleDrive,21.343125,15.143977,
OneDrive,3.612441,2.360298,OneDrive,27.213036,13.557756,
StorJ,9.135957,3.178275,StorJ,68.396166,17.026784,
DropBox,3.830927,1.798325,DropBox,20.474620,13.082001,
GoogleDrive,3.327263,2.107197,GoogleDrive,21.237495,16.723054,
OneDrive,5.917648,2.297222,OneDrive,24.895094,12.569453,
